"offset","source","target","note"
"0xc5b79","warship","軍艦",""
"0xc5b81","ENTER","確定",""
"0xc5b87","CANCEL","取消",""
"0xc5b95","B1%s Class","B1%s級",""
"0xc5ba7","B1Name: %-11s","B1名稱: %-11s",""
"0xc5bbf","submarine","潛艇",""
"0xc5bca","submarine","潛艇",""
"0xc5bd4","set_koutype","",""
"0xc5be0","set_yobiki","",""
"0xc5c08","%3d%5d%7d%7d%6d/%4d","",""
"0xc5c1c","transport","運輸",""
"0xc5c3e","%-12s ","",""
"0xc5c45","%-4s","",""
"0xc5c4e","%4d%5d%5d%5d","",""
"0xc5c5b","%5d%6d%3d/%2d%3d%3d/%2d ","",""
"0xc5c78","B1%3d ","",""
"0xc5c7f","%2d mo","%2d月","mo=月"
"0xc5ca4","B1 %2d %-13s","",""
"0xc5cb1","%-11s","",""
"0xc5cb7","%2d%6d%3d/%2d%3d   ","",""
"0xc5ccb","%d mo","%d月",""
"0xc5cd1"," DESIGN"," 設計",""
"0xc5cd9"," BUILD"," 建造",""
"0xc5ce0"," SCUTTLE"," 自沉",""
"0xc5ce9"," END","結束","長度僅4 bytes，去掉前導空白"
"0xc5cee"," Design"," 設計",""
"0xc5cf6"," WARSHIP "," 軍艦 ",""
"0xc5d00","SUBMARINE","潛艇",""
"0xc5d0a"," NEW SHIP"," 新造艦",""
"0xc5d28"," Build"," 建造",""
"0xc5d2f","WARSHIP ","軍艦",""
"0xc5d38","SUBMARINE","潛艇",""
"0xc5d42","AIRCRAFT","飛機","建造類別，譯飛機"
"0xc5d4b","TRANSPORT","運輸艦",""
"0xc5d6e"," Scuttle"," 自沉",""
"0xc5d77"," WARSHIP "," 軍艦 ",""
"0xc5d81","SUBMARINE","潛艇",""
"0xc5d9c","What would you like to do?","您要執行什麼？",""
"0xc5e6f","  ENTER  ","  確定  ",""
"0xc5e92","type2no","",""
"0xc5e9a","Type2AboutType","",""
"0xc5ea9"," DONE "," 完成 ",""
"0xc5eb0","%5d ","",""
"0xc5eb5"," INC. "," 增加 ","INC.=增加"
"0xc5ebc","  ENTER   ","  確定   ",""
"0xc5ec7","  CANCEL  ","  取消  ",""
"0xc5ef1","B=%-11s%2d/%2d","",""
"0xc5f00","Stern","艦尾",""
"0xc5f06","Port","左舷","舷側 Port=左舷"
"0xc5f0f","Starboard","右舷",""
"0xc5f19","Speed","速力",""
"0xc5f1f","Material","材質",""
"0xc5f28","vs Air","對空",""
"0xc5f2f","Aircraft","飛機","艦艇性能欄，譯飛機"
"0xc5f38","vs Fleet","對艦",""
"0xc5f41","Torp.Power","魚雷威力",""
"0xc5f4c","Speed","速力",""
"0xc5f52","Material","材質",""
"0xc5f5b","Armor","裝甲",""
"0xc5f61","Torp.Power","魚雷威力",""
"0xc5f73","B=%s Class","B=%s級",""
"0xc5f85","B0Capacity","B0容量",""
"0xc5f90","Rest:%4d/%4d","餘:%4d/%4d","Rest=剩餘，因長度縮為「餘」"
"0xc5fa4","B0%s (%2d/%2d)","",""
"0xc5fba","B0%s","",""
"0xc5fc1","Please design the ship.","請設計軍艦。",""
"0xc5fe6","Please design the submarine.","請設計潛艇。",""
"0xc600d","New%d","",""
"0xc6013","What warship will you design?","要設計哪種軍艦？",""
"0xc6031","It has not been completed.","尚未完成。",""
"0xc604c","Completed.","完成。",""
"0xc60ce","%-16s","",""
"0xc60d4","Commander","司令",""
"0xc60de","%-12s","",""
"0xc60e8","C7%s","",""
"0xc60fc","B0%s","",""
"0xc6111","Combined","聯合","聯合艦隊"
"0xc611a","Pacific","太平洋",""
"0xc61b0","Victory Conditions","勝利條件",""
"0xc61c3","Combined","聯合","聯合艦隊"
"0xc61cc","Pacific","太平洋",""
"0xc61d4","Staff","幕僚",""
"0xc61da","Operations","作戰",""
"0xc61e6","SAVEDATA2.TK2","",""
"0xc61f4"," What will you do?"," 將如何行動？",""
