"offset","source","note"
"0xc2923","Wiped out",""
"0xc292d","%3d(Lost %3d)",""
"0xc2968","B1%d %-16s",""
"0xc2973","Wiped out",""
"0xc297d","%3d(Lost %3d)",""
"0xc2a12","was bombed!",""
"0xc2a29","a rocket!",""
"0xc2a46","minimal damage.",""
"0xc2a60","slight damage.",""
"0xc2a79","serious damage.",""
"0xc2ab2","down to %d.",""
"0xc2ada","were",""
"0xc2aec","%s destroyed.",""
"0xc2b05","was wiped out.",""
"0xc2b24","now at %d.",""
"0xc2b3f","now at %d.",""
"0xc2b4a","was bombed!",""
"0xc2b63","torpedo!",""
"0xc2b6c","was hit by fire!",""
"0xc2ba1","%d torpedo%s.",""
"0xc2bb6","%d bomb%s.",""
"0xc2bc2","Wiped out.",""
"0xc2bce","%d ship%s left.",""
"0xc2bf0","damaged.",""
"0xc2c09","damaged.",""
"0xc2c24","was damaged.",""
"0xc2c42","in the hull!",""
"0xc2c6b","charges!",""
"0xc2c7f","torpedoes!",""
"0xc2c8a","was bombed!",""
"0xc2c97","Armor %s",""
"0xc2ca0","starboard",""
"0xc2caa","port",""
"0xc2cc8","bombed.",""
"0xc2ce2","knocked out!",""
"0xc2cff","bombed.",""
"0xc2d13","destroyed.",""
"0xc2d2e","flooded.",""
"0xc2d49","damaged.",""
"0xc2d73","damaged.",""
"0xc2d87","damaged.",""
"0xc2d9b","destroyed.",""
"0xc2db5","guns damaged.",""
"0xc2dd2","guns destroyed.",""
"0xc2dfb","torpedo%s.",""
"0xc2e10","bomb%s.",""
"0xc2e26","the %s.",""
"0xc2e4f","fire.",""
"0xc2e92","No regret in my life!",""
"0xc2ea8","Farewell, my beloved country.",""
"0xc2ec6","Make me proud!",""
"0xc2ed5","Banzai, Japan!",""
"0xc2ee4","Bless America!",""
"0xc2f04","Sank!",""
"0xc2f0b","Sunk in battle!",""
"0xc2f1c","was defeated.",""
"0xc2f2b","Destroyed the enemy!",""
"0xc2f48","%s Class",""
"0xc2f57","%s %s Cl.",""
"0xc2f62","%s Transport",""
"0xc2f6f","%s Transport %d",""
"0xc2f89","landed!",""
"0xc2f98","killed in action.",""
"0xc2faa","Select a target position.",""
"0xc2fc4","Retreating from battle.",""
"0xc2fdc"," MAIN GUN",""
"0xc2fe6"," ROCKET",""
"0xc2fee"," CANCEL",""
"0xc3008","Select a target to attack.",""
"0xc3023","Select a target position.",""
"0xc303d"," SUB. DELG. ",""
"0xc304a"," FLEET DELG.",""
"0xc3057","  L.F. DELG.",""
"0xc3064","  A.F. DELG.",""
"0xc3071","    ENTER   ",""
"0xc3092","Direct Control",""
"0xc30a1","Attack Carrier",""
"0xc30b0","Attack Battleship",""
"0xc30c2","Attack Cruiser",""
"0xc30d1","Attack Destroyer",""
"0xc30e2","Attack Submarine",""
"0xc30f3","Attack Transport",""
"0xc3104","Attack Land Force",""
"0xc3116","Attack Storage",""
"0xc3125","Attack Factory",""
"0xc3134","Attack Airfield",""
"0xc3144","Land",""
"0xc3149","Rest",""
"0xc314e","Retreat",""
"0xc3156","Retreat",""
"0xc315e","Delegate",""
"0xc317b"," Information",""
"0xc31a7","Bomb",""
"0xc31ac","Torp",""
"0xc3216"," EXECUTE ",""
"0xc3220","STEER",""
"0xc3226","MOVE ",""
"0xc322c","ATTK ",""
"0xc3232"," EXECUTE ",""
"0xc323c","PORT",""
"0xc3241","STAR",""
"0xc3246","LAND",""
"0xc324b","BOMB",""
"0xc3250","ATTK ",""
"0xc32d6","ATTK",""
"0xc32db","WAIT",""
"0xc32e7"," Base AF",""
"0xc3300","%12s",""
"0xc336d","read open err:",""
"0xc3380","Imperial Headquarters",""
"0xc3396","Operation Headquarters",""
"0xc33ad","completed their mission.",""
"0xc33e6","confront opposition.",""
"0xc33fb","Pacific fleet.",""
"0xc340a","mount a counterattack.",""
"0xc3421","plea for peace.",""
"0xc3441","against the Japanese forces.",""
"0xc345e","is the invasion of Japan.",""
"0xc3492","A single battleship moves ",""
"0xc34ad","slowly through the waves as ",""
"0xc34ca","if leading the sad souls of ",""
"0xc34e7","heroes scattered over the ",""
"0xc3502","Pacific to their final ",""
"0xc351a","resting place. ",""
"0xc352a","Someday, the smell of ",""
"0xc3541","blastpowder burned into the ",""
"0xc355e","steel hull will fade away, ",""
"0xc357a","but for now the men slowly ",""
"0xc3596","inhale it along with the ",""
"0xc35b0","pleasant smell of the salty ",""
"0xc35cd","brine. ",""
"0xc35d5","Far off on the horizon, ",""
